energy,diameter,dfec_lynch
20,35.9295499022,334.533112996
20,36.2622309198,317.956830967
20,36.5949119374,307.030439216
20,36.927592955,300.686696712
20,37.2602739726,297.348973849
20,37.5929549902,296.290407131
20,37.9256360078,297.047807371
20,38.2583170254,299.288955701
20,38.5909980431,302.761044355
20,38.9236790607,307.264421431
20,39.2563600783,312.637327827
20,39.5890410959,318.746190504
20,39.9217221135,325.479120338
20,40.2544031311,332.741304969
20,40.5870841487,340.451676922
20,40.9197651663,348.540397291
20,41.252446184,356.946933394
20,41.5851272016,365.618546689
20,41.9178082192,374.509102547
20,42.2504892368,383.578092235
20,42.5831702544,392.789847552
20,42.915851272,402.112886385
20,43.2485322896,411.519363159
20,43.5812133072,420.984616077
20,43.9138943249,430.486769506
20,44.2465753425,440.006414233
20,44.5792563601,449.526302398
20,44.9119373777,459.031132114
20,45.2446183953,468.507282948
20,45.5772994129,477.919608278
20,45.9099804305,486.662655591
20,46.2426614481,494.036249846
20,46.5753424658,499.660319623
20,46.9080234834,503.268861324
20,47.240704501,504.661520011
20,47.5733855186,503.682724352
20,47.9060665362,500.210140825
20,48.2387475538,494.14723174
20,48.5714285714,485.450905841
20,48.904109589,475.409105988
20,49.2367906067,465.178021949
20,49.5694716243,455.330755624
20,49.9021526419,446.294415131
20,50.2348336595,438.400115511
20,50.5675146771,431.912518128
20,50.9001956947,427.047101002
20,51.2328767123,423.981286641
20,51.5655577299,422.857248959
20,51.8982387476,422.747432897
20,52.2309197652,421.81151796
20,52.5636007828,419.086898112
20,52.8962818004,413.926535845
20,53.228962818,405.458610435
20,53.5616438356,391.992648161
20,53.8943248532,372.461115999
20,54.2270058708,346.121605991
20,54.5596868885,314.517597983
20,54.8923679061,282.166136039
20,55.2250489237,251.435208149
20,55.5577299413,223.876302881
20,55.8904109589,200.407515629
20,56.2230919765,180.742189982
20,56.5557729941,164.829498524
20,56.8884540117,152.781560792
20,57.2211350294,144.442016961
20,57.553816047,138.768199056
20,57.8864970646,135.158478247
20,58.2191780822,133.253690011
20,58.5518590998,132.79556704
20,58.8845401174,133.585164137
20,59.217221135,135.462946472
20,59.5499021526,138.297458368
20,59.8825831703,141.978213578
20,60.2152641879,146.41092417
20,60.5479452055,151.5141476
20,60.8806262231,157.216840513
20,61.2133072407,163.456524446
20,61.5459882583,170.177874812
20,61.8786692759,177.331613475
20,62.2113502935,184.873628386
20,62.5440313112,192.764258986
20,62.8767123288,200.967712771
20,63.2093933464,209.451577146
20,63.542074364,218.186416908
20,63.8747553816,227.145428969
20,64.2074363992,236.304153576
20,64.5401174168,245.640220443
20,64.8727984344,255.133136146
20,65.2054794521,264.764093265
20,65.5381604697,274.515809783
20,65.8708414873,284.372382921
20,66.2035225049,294.319164215
20,66.5362035225,304.335999495
20,66.8688845401,313.863624532
20,67.2015655577,322.024289324
20,67.5342465753,328.329664553
20,67.866927593,332.430133977
20,68.1996086106,334.051746503
20,68.5322896282,332.971385693
20,68.8649706458,329.479302996
20,69.1976516634,325.209973015
20,69.530332681,321.122662584
20,69.8630136986,317.799671624
20,70.1956947162,315.337050421
20,70.5283757339,313.749330724
20,70.8610567515,313.112424868
20,71.1937377691,312.927647853
20,71.5264187867,312.545640481
20,71.8590998043,311.633415022
20,72.1917808219,309.962101262
20,72.5244618395,307.358382154
20,72.8571428571,303.729780854
20,73.1898238748,299.71232727
20,73.5225048924,295.840572208
20,73.85518591,292.396857707
20,74.1878669276,289.157813964
20,74.5205479452,285.528442762
20,74.8532289628,281.220510232
20,75.1859099804,276.045083689
20,75.518590998,269.861071201
20,75.8512720157,262.542939616
20,76.1839530333,253.270253398
20,76.5166340509,240.918273562
20,76.8493150685,225.078591933
20,77.1819960861,207.904185322
20,77.5146771037,191.337277506
20,77.8473581213,176.396094828
20,78.1800391389,163.228562187
20,78.5127201566,151.855299504
20,78.8454011742,142.427711191
20,79.1780821918,135.103659237
20,79.5107632094,130.030400774
20,79.843444227,127.145595184
