energy,photons,n_squared,beta,visibility,detector_efficiency,absorbed_in_sample,total_weight,total_weight_no_vis
87.0,892774.0,5.25405007751e-15,5.52224670283e-11,0.243602586293,0.618136254897,0.557478011446,61363.5362796,251900.183875
88.0,834357.7,5.01921451601e-15,5.41900325358e-11,0.237236370942,0.614519509399,0.559899214935,56026.0440542,236161.275912
89.0,775120.2,4.79735242429e-15,5.31975061983e-11,0.231063747295,0.611050583009,0.562229244608,50846.6756219,220054.752063
90.0,717605.8,4.58761524351e-15,5.22342337694e-11,0.225079079039,0.607622208402,0.564524490714,45982.6674583,204295.608702
91.0,658765.6,4.38921640408e-15,5.12990372147e-11,0.21927678477,0.604233744938,0.566785788914,41230.5112956,188029.53235
92.0,601696.7,4.20142822757e-15,5.03907983179e-11,0.21365135506,0.600884561503,0.56901394749,36780.3166052,172151.103816
93.0,542637.5,4.02357694123e-15,4.95084550304e-11,0.208197366555,0.597574036597,0.571209748469,32394.6484152,155595.860559
94.0,485418.9,3.85503684589e-15,4.86673900821e-11,0.202909493515,0.594511515907,0.573266504758,28305.1770368,139496.56345
95.0,421757.9,3.69523050975e-15,4.78567974692e-11,0.197782517103,0.591579260278,0.575245811572,24022.6620321,121459.987383
96.0,360058.2,3.54362018437e-15,4.70681441759e-11,0.192811332761,0.58868012608,0.577197904066,20032.274363,103895.731004
97.0,298861.0,3.39970656713e-15,4.63006144906e-11,0.187990955898,0.585813559957,0.579123396435,16241.3136116,86394.1221752
98.0,239531.6,3.26302548437e-15,4.55534310838e-11,0.183316526149,0.582979019632,0.581022883723,12714.7340507,69359.4533883
99.0,117922.5,3.13314509503e-15,4.48258528315e-11,0.178783310389,0.580175973709,0.582896942578,6114.13685529,34198.5884588
100.0,0.0,3.00966328988e-15,4.41212912698e-11,0.174386704684,0.577463999026,0.584716842001,0.0,0.0
