energy,diameter,dfec_lynch
20,50.2348336595,876.800231022
20,50.5675146771,863.825036256
20,50.9001956947,854.094202005
20,51.2328767123,847.962573282
20,51.5655577299,845.714497918
20,51.8982387476,845.494865794
20,52.2309197652,843.62303592
20,52.5636007828,838.173796223
20,52.8962818004,827.85307169
20,53.228962818,810.917220871
20,53.5616438356,783.985296322
20,53.8943248532,744.922231998
20,54.2270058708,692.243211982
20,54.5596868885,629.035195966
20,54.8923679061,564.332272078
20,55.2250489237,502.870416298
20,55.5577299413,447.752605763
20,55.8904109589,400.815031258
20,56.2230919765,361.484379964
20,56.5557729941,329.658997049
20,56.8884540117,305.563121585
20,57.2211350294,288.884033922
20,57.553816047,277.536398111
20,57.8864970646,270.316956494
20,58.2191780822,266.507380022
20,58.5518590998,265.591134079
20,58.8845401174,267.170328273
20,59.217221135,270.925892944
20,59.5499021526,276.594916737
20,59.8825831703,283.956427156
20,60.2152641879,292.821848339
20,60.5479452055,303.028295199
20,60.8806262231,314.433681027
20,61.2133072407,326.913048892
20,61.5459882583,340.355749623
20,61.8786692759,354.66322695
20,62.2113502935,369.747256771
20,62.5440313112,385.528517973
20,62.8767123288,401.935425542
20,63.2093933464,418.903154291
20,63.542074364,436.372833816
20,63.8747553816,454.290857939
20,64.2074363992,472.608307153
20,64.5401174168,491.280440885
20,64.8727984344,510.266272291
20,65.2054794521,529.528186531
20,65.5381604697,549.031619567
20,65.8708414873,568.744765843
20,66.2035225049,588.638328431
20,66.5362035225,608.671998991
20,66.8688845401,627.727249064
20,67.2015655577,644.048578649
20,67.5342465753,656.659329106
20,67.866927593,664.860267955
20,68.1996086106,668.103493006
20,68.5322896282,665.942771385
20,68.8649706458,658.958605991
20,69.1976516634,650.419946029
20,69.530332681,642.245325169
20,69.8630136986,635.599343248
20,70.1956947162,630.674100842
20,70.5283757339,627.498661448
20,70.8610567515,626.224849737
20,71.1937377691,625.855295706
20,71.5264187867,625.091280962
20,71.8590998043,623.266830043
20,72.1917808219,619.924202524
20,72.5244618395,614.716764307
20,72.8571428571,607.459561708
20,73.1898238748,599.42465454
20,73.5225048924,591.681144416
20,73.85518591,584.793715413
20,74.1878669276,578.315627928
20,74.5205479452,571.056885524
20,74.8532289628,562.441020465
20,75.1859099804,552.090167378
20,75.518590998,539.722142401
20,75.8512720157,525.085879232
20,76.1839530333,506.540506797
