energy,diameter,dfec_lynch
10,54.5596868885,10012.9763706
10,54.8923679061,9688.42102132
10,55.2250489237,9438.47024537
10,55.5577299413,9262.33059212
10,55.8904109589,9139.43846275
10,56.2230919765,9057.40036969
10,56.5557729941,9009.05050663
10,56.8884540117,8989.27433242
10,57.2211350294,8994.14157233
10,57.553816047,9020.50193123
10,57.8864970646,9065.75862579
10,58.2191780822,9127.72748074
10,58.5518590998,9204.54297498
10,58.8845401174,9294.59243016
10,59.217221135,9396.46800754
10,59.5499021526,9508.93081701
10,59.8825831703,9630.88319542
10,60.2152641879,9761.34705947
10,60.5479452055,9899.44657117
10,60.8806262231,10044.3941111
10,61.2133072407,10195.4787658
10,61.5459882583,10352.0567934
10,61.8786692759,10513.5435817
10,62.2113502935,10679.4069122
10,62.5440313112,10849.1611879
10,62.8767123288,11022.3624412
10,63.2093933464,11198.6040859
10,63.542074364,11377.5131927
10,63.8747553816,11558.7472069
10,64.2074363992,11741.9911216
10,64.5401174168,11926.9549434
10,64.8727984344,12113.3714385
10,65.2054794521,12300.9941796
10,65.5381604697,12489.5957463
10,65.8708414873,12678.9661274
10,66.2035225049,12868.9113266
10,66.5362035225,13059.2520432
10,66.8688845401,13249.8225098
10,67.2015655577,13440.4694678
10,67.5342465753,13631.0511865
10,67.866927593,13821.4365771
10,68.1996086106,14011.5044496
10,68.5322896282,14201.1427762
10,68.8649706458,14390.248019
10,69.1976516634,14575.6933167
10,69.530332681,14748.4866689
10,69.8630136986,14903.4051787
10,70.1956947162,15036.8846742
10,70.5283757339,15146.1682643
10,70.8610567515,15229.0221277
10,71.1937377691,15283.5914403
10,71.5264187867,15308.3140862
10,71.8590998043,15301.8629703
10,72.1917808219,15263.1051807
10,72.5244618395,15191.0717432
10,72.8571428571,15084.9337495
10,73.1898238748,14943.9837839
10,73.5225048924,14767.7317943
10,73.85518591,14570.181045
10,74.1878669276,14365.9575833
10,74.5205479452,14160.8748066
10,74.8532289628,13959.8995684
10,75.1859099804,13767.0829356
10,75.518590998,13585.8087511
10,75.8512720157,13418.954388
10,76.1839530333,13268.9977356
10,76.5166340509,13138.0922893
10,76.8493150685,13028.1218633
10,77.1819960861,12940.7422475
10,77.5146771037,12877.4138121
10,77.8473581213,12839.4272338
10,78.1800391389,12827.3141352
10,78.5127201566,12826.085271
10,78.8454011742,12817.5729379
10,79.1780821918,12791.7381854
10,79.5107632094,12741.3100187
10,79.843444227,12660.5564058
10,80.1761252446,12544.7740784
10,80.5088062622,12385.3567676
10,80.8414872798,12164.6829003
10,81.1741682975,11871.4811426
10,81.5068493151,11497.5084717
10,81.8395303327,11036.1097967
10,82.1722113503,10481.7629656
10,82.5048923679,9855.19030809
10,82.8375733855,9205.70043171
10,83.1702544031,8559.82352133
10,83.5029354207,7935.79390206
10,83.8356164384,7347.72410386
10,84.168297456,6807.1030245
10,84.5009784736,6322.08812324
10,84.8336594912,5888.82119905
10,85.1663405088,5504.76210881
10,85.4990215264,5170.18499422
10,85.831702544,4886.02098246
10,86.1643835616,4653.41418352
10,86.4970645793,4471.79840941
10,86.8297455969,4330.3082378
10,87.1624266145,4221.05111386
10,87.4951076321,4139.41155976
10,87.8277886497,4082.00487023
10,88.1604696673,4046.16400229
10,88.4931506849,4029.70257081
10,88.8258317025,4030.781146
10,89.1585127202,4047.82311195
10,89.4911937378,4079.45780611
10,89.8238747554,4124.48014348
10,90.156555773,4181.82087565
10,90.4892367906,4250.52401254
10,90.8219178082,4329.72928214
10,91.1545988258,4418.65823635
10,91.4872798434,4516.60306019
10,91.8199608611,4622.9174413
10,92.1526418787,4737.00902009
10,92.4853228963,4858.33307965
10,92.8180039139,4986.38722373
10,93.1506849315,5120.70684935
10,93.4833659491,5260.86127019
10,93.8160469667,5406.45036641
10,94.1487279843,5557.10167664
10,94.481409002,5712.46786031
10,94.8140900196,5872.22445969
10,95.1467710372,6036.06793674
10,95.4794520548,6203.71392856
10,95.8121330724,6374.89568641
10,96.14481409,6549.36269918
10,96.4774951076,6726.87943992
10,96.8101761252,6907.22424545
10,97.1428571429,7090.18831199
10,97.4755381605,7275.57477386
10,97.8082191781,7463.19786738
10,98.1409001957,7652.88219377
10,98.4735812133,7844.46199981
10,98.8062622309,8037.78057362
10,99.1389432485,8232.68964705
10,99.4716242661,8429.04887873
10,99.8043052838,8626.72533539
10,100.136986301,8825.593107
10,100.469667319,9025.53277593
10,100.802348337,9226.27603076
10,101.135029354,9421.0923739
10,101.467710372,9600.77009683
10,101.800391389,9760.0116762
10,102.133072407,9894.8719293
10,102.465753425,10002.1534433
10,102.798434442,10079.1629916
10,103.13111546,10123.5810103
10,103.463796477,10133.3809374
10,103.796477495,10106.7748489
10,104.129158513,10044.9206432
10,104.46183953,9964.73340377
10,104.794520548,9878.61376483
10,105.127201566,9794.11574251
10,105.459882583,9716.95877486
10,105.792563601,9651.40618401
10,106.125244618,9597.26313104
10,106.457925636,9554.20637415
10,106.790606654,9522.92386537
10,107.123287671,9504.27841431
